Node,Depth,Value,Alpha,Beta
B2,3,-3,32,Infinity
A1,2,15,32,Infinity
A3,3,13,32,Infinity
A1,2,15,32,Infinity
B3,3,33,32,Infinity
A1,2,33,33,Infinity
C3,3,-2,33,Infinity
A1,2,33,33,Infinity
E3,3,2,33,Infinity
A1,2,33,33,Infinity
B4,3,-3,33,Infinity
A1,2,33,33,Infinity
E4,3,-13,33,Infinity
A1,2,33,33,Infinity
A5,3,10,33,Infinity
A1,2,33,33,Infinity
B5,3,15,33,Infinity
A1,2,33,33,Infinity
C5,3,8,33,Infinity
A1,2,33,33,Infinity
D5,3,6,33,Infinity
A1,2,33,33,Infinity
E5,3,-5,33,Infinity
A1,2,33,33,Infinity
A4,1,33,32,33
B1,2,-Infinity,32,33
A1,3,9,32,33
B1,2,9,32,33
E1,3,19,32,33
B1,2,19,32,33
A2,3,9,32,33
B1,2,19,32,33
B2,3,1,32,33
B1,2,19,32,33
A3,3,17,32,33
B1,2,19,32,33
